observation,quarter,customers_acquired
1,1996Q1,2
2,1996Q2,29
3,1996Q3,70
4,1996Q4,104
5,1997Q1,133
6,1997Q2,167
7,1997Q3,221
8,1997Q4,249
9,1998Q1,204
10,1998Q2,236
11,1998Q3,267
12,1998Q4,395
13,1999Q1,400
14,1999Q2,414
15,1999Q3,500
16,1999Q4,580
17,2000Q1,585
18,2000Q2,618
19,2000Q3,648
20,2000Q4,705
21,2001Q1,688
22,2001Q2,656
23,2001Q3,684
24,2001Q4,692
25,2002Q1,619
26,2002Q2,642
27,2002Q3,722
28,2002Q4,804
29,2003Q1,687
30,2003Q2,701
31,2003Q3,746
32,2003Q4,759
33,2004Q1,785
34,2004Q2,851
35,2004Q3,897
36,2004Q4,907
37,2005Q1,801
38,2005Q2,799
39,2005Q3,900
40,2005Q4,897
41,2006Q1,794
42,2006Q2,824
43,2006Q3,958
44,2006Q4,940
45,2007Q1,890
46,2007Q2,850
47,2007Q3,904
48,2007Q4,790
49,2008Q1,730
50,2008Q2,752
51,2008Q3,825
52,2008Q4,659
53,2009Q1,653
54,2009Q2,731
55,2009Q3,887
56,2009Q4,847
57,2010Q1,833
58,2010Q2,747
59,2010Q3,819
60,2010Q4,653
61,2011Q1,681
62,2011Q2,572
63,2011Q3,656
64,2011Q4,667
65,2012Q1,673
66,2012Q2,665
67,2012Q3,739
68,2012Q4,662
69,2013Q1,654
70,2013Q2,624
71,2013Q3,734
72,2013Q4,654
73,2014Q1,639
74,2014Q2,656
75,2014Q3,691
76,2014Q4,615
77,2015Q1,554
78,2015Q2,638
79,2015Q3,751
80,2015Q4,830
81,2016Q1,657
82,2016Q2,527
83,2016Q3,736
84,2016Q4,694
